FUN_FACTS,LOCATIONS
,Pier 14 San Francisco
,Chaya / Perry's 132 Embarcadero
,Castle Street @ Green Street
,1227 Montgomery Street
The museum party interiors were shot in the Historic San Francisco City Hall.,San Francisco City Hall
,San Francisco Airport
,"Benu Restaurant, 22 Hawthorne Street"
,California Street between Front and Davis
,Jones @ Broadway
"The Bentley Reserve is the former San Francisco Federal Reserve. Designed by architect George W. Kelham and completed in 1924, the building has been a prominent landmark of the Financial District for 89 years.","Bentley Reserve, 301 Battery Street"
,"St Regis Hotel, 125 3rd Street"
"The Marriott Marquis opened on October 17, 1989, the day of the Loma Prieta earthquake.[7] With better earthquake proofing than several nearby hotels, the building only lost a single window.[7]","Marriott Marquis, 780 Mission Street"
,"Laguna Honda Hospital, 375 Laguna Honda Blvd."
,Turk Street between Mason & Leavenworth
,California Street between Sansome & Davis
,3rd Street between Market & Harrison
,Mason Street @ Vallejo
,225 California Street
,George Washington High School (600 32nd Avenue )
,"Wells Fargo Bank (1 California Street, Financial District)"
,The Sea Captain's Chest (Fisherman's Wharf)
"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.","Sheraton Palace Hotel (2 Montgomery Street, Financial District)"
,Roaring Twenties Nightclub (555 Broadway at Columbus)
"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Candlestick Park
,2632 Larkin Street at Lombard
,100 St. Germain Avenue
,1 Montgomery Street at Post
,
Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Grace Cathedral Episcopal Church (1100 California Street)
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
"Called ""1001 Franklin"" in the film.",2230 Sacramento Street
"Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroyed Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins.",Nob Hill
,
,
The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,"Postcard Row (Alamo Square, Hayes Valley)"
,400 Montgomery Street
,Folsom Street & Embarcadero
,Varennes Alley between Filbert and Union
"Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Po"
,Kohl Building (400 Montgomery Street)
"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Bank of America Building (555 California Street)
,90 Gold Street
,5th and Beale Streets
"The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.","Westin St. Francis Hotel (335 Powell Street, Union Square)"
"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.","Public Health Service Hospital (Presidio, Golden Gate National Recreat"
"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.","Presidio, Golden Gate National Recreation Area"
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
,Bix Restaurant (56 Gold Street)
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Chinatown
"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Treasure Island
"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Palace of Fine Arts (3301 Lyon Street)
In 1945 the United Nations had its first conference at The War Memorial Opera House.,War Memorial Opera House (401 Van Ness Avenue)
,Sutter & Buchannan Streets
,Sutter & Baker Streets
,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street)
,Sacramento & Hyde Streets (Nob Hill)
The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,"Postcard Row (Alamo Square, Hayes Valley)"
,Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street)
,Octavia & Hayes Streets (Hayes Valley)
,Montgomery & Pine Streets (Financial District)
,Laguna & Sacramento Streets (Pacific Heights)
,"Hayes Valley Care (601 Laguna Street, Hayes Valley)"
,Golden Gate & Steiner Streets (Hayes Valley)
"Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Fort Point, Presidio"
"Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.",Fort Mason (Golden Gate National Recreation Area)
,Flood Building (870 Market Street)
,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)"
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
,California & Larkin Streets (Nob Hill)
The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991.,"Asian Art Museum (200 Larkin Street, Civic Center)"
,Andrew S. Hallidie Plaza (Market & Powell Streets)
,430 Vallejo Street (Telegraph Hill)
,24th and Castro Streets (Noe Valley)
,Alco Plaza
"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area ""called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Twin Peaks
"The Pyramid was the tallest skyscraper west of the Mississippi from 1972-1974, until it was surpassed by Los Angeles' Aon Center.",TransAmerica Pyramid (600 Montgomery Street)
"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Stockton Tunnel (Stockton Street at Sutter Street)
"The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.","Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Potrero Hill
"Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroyed Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins.",Nob Hill
,Hyatt Regency Hotel (5 Embarcadero Center)
,Folsom Street (SOMA)
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
,Embarcadero Freeway
"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Candlestick Park (602 Jamestown Ave.)
,Broadway and Columbus Avenue (North Beach)
"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.",The Barbary Coast
,755 Vallejo Street
,The Tamalpais Building (1201 Greenwich Street at Hyde)
The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design.,"Neiman Marcus (150 Stockton Street, Union Square)"
"Called ""Stanhope Bank"" in the film.",First Bank (550 Montgomery Street at Commercial)
"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Bay Bridge
,California & Grant Streets
,War Memorial Building (401 Van Ness Avenue)
"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Transbay Terminal (Mission Street at 1st Street)
,140 Maiden Lane
"Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design.,"Neiman Marcus (150 Stockton Street, Union Square)"
,Mason Street at Jackson
,M.H. de Young Memorial Museum (Golden Gate Park)
,Embarcadero Street Station- BART
"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Candlestick Park (602 Jamestown Ave.)
"After the devastating earthquake of 1906, the park served as a refugee camp for more than 1600 families who lost their home in the disaster.","Mission Dolores Park, 19th St. & Dolores St."
,Green and Divisadero
,1375 Haight St.
,"Mission Thrift, 2330 Mission St."
,"The Castro Theater, 429 Castro St."
The murals that make up this famous alley were first painted in 1992 and still looked after by the Clarion Alley Mural Project.,Clarion Alley between Valencia and Mission
The namesake for the steps was an Italian-American California-based modernist jeweler and sculptor who pioneered avant-garde jewelry.,"Macchiarini Steps, Kearny between Vallejo and Broadway"
,Fillmore and Waller
"The restaurant was given the honor of ""America's Best Burrito"" in 2014 by ESPN's FiveThirtyEight.","La Taqueria, 2889 Mission St."
,Various Haight St. Vintage Shops
,"Clayton Post Office, 554 Clayton St."
,Taylor and Union
,Filbert between Leavenworth and Hyde
,Filbert between Grant and Kearny
,Filbert and Kearny Steps
,"Boulevard Restaurant, 1 Mission St."
,Grant between California and Washington
An interactive museum consisting of 20th century penny arcade games and artifacts.,"Musee Mecanique, Fisherman's Wharf"
,Mission between 19th and 25th St.
,"Underground SF, 424 Haight St."
,Fillmore between Haight and Waller
,Sacramento & Washington Streets
,Kearney & Pine St.
,California & Davis St
,Pine St. & Davis St
,Sacramento & Front St.
,Broadway & Sansome
,Broadway & Columbus
,Post & Jones St.
,Stockton & Clay St
,Bush & Kearny
,Mission & Fremont St
,Eddy & Taylor St.
,Pier 7 (The Embarcadero)
,Pier 1
,Embarcadero & Washington
,Mission & Beal
,Potrero &San Bruno
Ross Alley is the oldest alley in San Francisco.,Ross Alley (Chinatown)
,University of California Hastings College of the Law
,Bush Street (between Grant & Kearny Streets)
"Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",Buena Vista Park (Haight Street at Buena Vista)
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,California and Mason
,"Merchants Exchange, 465 California St"
,Crissy Field Beach
,Fort Point (Golden Gate National Recreation Area)
,Hyde and Lombard
,Hyde and Chestnut
,Red's Java House - Pier 30
,Stockton and Jackson
,740 Jackson St
,Washington and Spofford
,Waverly between Clay and Washington
,Grant and Commercial
,"Caffe Trieste, 601 Vallejo st"
,Union at Jasper Place
,Green at Varennes St
,"Brocklebank Apartments, 1000 Mason St"
,Pier 7
,Mountain Spring Avenue at Glenbrook Avenue
,Various locations in San Francisco during driving scene
"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.",Cliff House (1090 Point Lobos Avenue)
,Bush and Sutter Streets
,Hayes Street at Laguna
,435 23rd Street at Illinois
,435 23rd Street at Illinois
,435 23rd Street at Illinois
,Sutter Street between Powell and Mason
SFO has a museum dedicated to aviation history.,San Francisco International Airport
This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.,Mel's Drive-In (Corner South Van Ness & Mission St.)
,634 Raycliff Terrace
,
,
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",Conservatory of Flowers (Golden Gate Park)
,Sutro Baths (Point Lobos Avenue)
,Golden Gate Park
"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Stockton Tunnel (Stockton Street at Sutter Street)
,2810 Pacific Avenue
In 1945 the United Nations had its first conference at The War Memorial Opera House.,War Memorial Opera House (401 Van Ness Avenue)
"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",Conservatory of Flowers (Golden Gate Park)
,San Francisco Art Institute (800 Chestnut Street)
,Washington Square Bar & Grill (1707 Powell)
"One of the country's earliest bookstores, City Lights was founded by, and still owned by beat poet Lawrence Ferlinghetti. The bookstore was often frequented by Beat writers like Allen Ginsberg and Jack Kerouac.",City Lights Bookstore (261 Columbus)
,
,Muni Metro East (501 Cesar Chavez)
,Castagnola's Restaurant (Fisherman's Wharf)
"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",Sheraton Palace Hotel (639 Market Street)
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,Hobart Building (582 Market Street)
,The Final Final (2990 Baker Street)
,1160 Taylor Street
,Hyatt Regency Hotel (5 Embarcadero Center)
"Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Fort Point (Presidio, Golden Gate National Recreation Area)"
"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.","Conservatory of Flowers, Golden Gate Park"
"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Bank of America Building (555 California Street)
,391 Pennsylvania Avenue at 19th Street
Jack Kerouac was a regular at the café.,Vesuvio Café (255 Columbus Avenue)
"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"".",Union Square
,Maiden Lane
,Condor Club (Columbus and Broadway)
,Chase H & Q  (1 Bush Street at Sansome)
,Pier 39 (Fisherman's Wharf)
,
,Marriot Hotel (55 4th Street at Market)
"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Telegraph Hill
,Vallejo Street at Sansome
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Treasure Island
,Flint & 16th (Castro)
,"Grove & Polk, thru Fulton & 6th, Masonic, 28th & 47th"
,Ocean Beach @ Balboa
,4100 20th St
,Harvey Milk Plaza
,F Train
,Sanchez/Cumberland steps and sidewalks
"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Administration Building (Treasure Island)
The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)"
"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Telegraph Hill
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Ferry Building
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,100 Market Street at 6th Street
,6th Street On-ramp to Highway 280
,Pier 33 (Embarcadero)
,"Department of Public Health (101 Grove Street at Polk, Civic Center)"
United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved.,United Nations Plaza (Civic Center)
"The Pyramid was the tallest skyscraper west of the Mississippi from 1972-1974, until it was surpassed by Los Angeles' Aon Center.",Transamerica Building (600 Montgomery Street at Clay)
,San Francisco Drydock (20th and Illinois Streets)
,"Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)"
The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,"Postcard Row (Alamo Square, Hayes Valley)"
,Lafayette Park (Pacific Heights)
,Hamlin Hotel (385 Eddy Street)
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Chinatown
,Broadway Tunnel (Russian Hill)
,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)"
,720 Steiner Street (Hayes Valley)
,32 Napier Lane
,1227 Montgomery Street (Telegraph Hill)
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",The Ferry Building
,Grant Avenue (North Beach)
,1 Post Street
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Hunters Point
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Chrissy Field
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,
"The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden","Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)"
,Fior d' Italia (601 Union Street at Stockton)
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
,Lombard & Hyde Streets
,Hall of Justice (850 Bryant Street)
"Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach.",Washington Square (North Beach)
In 1945 the United Nations had its first conference at The War Memorial Opera House.,War Memorial Opera House (401 Van Ness Avenue)
"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",Sheraton Palace Hotel (639 Market Street)
"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Palace of Fine Arts
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
,
,Hang Ah Alley (Chinatown)
,Horace Mann School (3351 23rd Street)
,901 Union Street
,610 Rhode Island Street (Potrero Hill)
,375 Laguna Honda Blvd.
,180 Manchester Street
,
,2552 Hyde Street
United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved.,United Nations Plaza (Civic Center)
The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,"Postcard Row (Alamo Square, Hayes Valley)"
,Hyatt Fisherman's Wharf (555 Northpoint Street)
,"Fairmont Hotel (950 Mason Street, Nob Hill)"
"Designed in 1970, the Chinatown Gate (aka the Dragon Gate) is based on ceremonial gates found in Chinese villages.",Chinatown Gate
,722 Steiner Street
,
"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Ferry Building
,Market Street Between Noe and Sanchez
,Green & Laguna Streets
,California & Hyde Streets
,City Hall
,Lusty Lady Bar (North Beach)
,222 Mason St.
,Golden Gate Bridge
,Presidio Church at 130 Fisher Loop
,"Tiburon Hiking Trail, Tiburon, CA"
,Fort Funston
,Folsom Street Fair on Folsom St.
,Orphan Andy's
,The Stud
,Mr. S Leather
,2866 24th St.
,24th and Church St.
,Church and Duboce Muni Station
,St. Francis Fountain
,Muni line N- Judah
,Sutro Baths
,Golden Gate Park
,Market & Church St.
,Willy's Barber Shop
,Jawbone at 99 Rhode Island St.
,Urban Flowers
,770 Haight St
,Eros
,Doc's Clock
,Starbucks at 333 O'Farrell St.
,Union Square
,The Café at 2369 Market St.
,Castro St. from Market to 18th St.
,Bay Bridge
,Treasure Island
,The Fairmont
,1890 Clay St.
,2000 Folsom
,Mission Arts Center
,2413 Harrison St.
,Muddy Waters Coffee House
,Valencia St. from 16th to 17th
,601 Buena Vista West
,Dolores Park
,Casa Lucas Market at 2934 24th St
,Punjab
,BART from Civic Center to 24th St.
,901 Valencia Street
,314 11th Street
,1246 Folsom Street
,Eddy @ Polk Street
,Church @ Duboce Street
"Jake Shears, lead singer of the band Scissor Sisters, auditioned for the role of Dom.",100 Church Street
"This home was also used in MILK, Big Sur and Diary of a Teenage Girl",770 Haight Street
,651 Brannan Street
,1400 16th Street
,601 Buena Vista Ave West
,"Balboa pool Lot, San Jose Avenue & Havelock St"
,"Willy's Barber shop, 3227 22nd Street"
"The character of Doris was originally a recurring role, but everyone on the team liked Lauren Weedman's performance so much that she became a full time regular during the second season.","Mad Dog Bar, 530 Haight Street"
,770 Haight Street
,Kezar Pavillion
,"Boxer Stadium, 166 Havelock Street"
,"Mission Rec Center, 2450 Harrison Street"
,"Doc's Clock, 2575 Misison Street"
,"Esta Noche, 3079 16th Street"
,1890 Clay Street
,"Larken Street Youth Services, 1138 Sutter Street"
,"Daniel's Pharmacy, 943 Geneva Ave."
,Castro Street @ 18th street
,601 Buena Vista Ave West
,"Urban Flowers, 4029 18th Street"
,3650 21st Street
,"Bi-Rite Creamery, 3692 18th Stret"
"Russell Tovey originally auditioned for the role of Patrick, but was unsuccessful. After the show got picked up, the character of Kevin was written with him in mind.","Dolores Park, San Francisco"
,970 Geary Street
,534 Hyde Street
,534 Hyde Street
,24th Between Portrero & Alabama
,745 Treat Ave
,"Always Open Car Wash, 2560 Marin Street"
,160 Church Street
,1119 Alabama Street
,745 Treat Ave.
,1890 Clay Street
,770 Haight Street
,770 Haight Street
,Delores Park
,"Valenti, Marini, Perata, 4840 Mission Street"
,"Sparky's Diner, 242 Church Street"
,2450 Harrison Street
,1246 Folsom Street
,"Citizens Band, 1198 Folsom Street"
,1111 California Street
,950 Mason Street
,"SF Zoo, 2945 Sloat Blvd"
,1246 Folsom Street
,68 Division Street
,8 Octavia Street
,1890 Clay Street
,"Tonga Room, Fairmont Hotel, 950 Mason Street"
,"Muddy Waters, 521 Valencia Street"
,"Mission Arts Center, 2450 Harrison Street"
,8 Octavia Street
,BART Station @ 16th Street & Mission Streets
,67 Deming Street
,Twin Peaks Park
,"Vega Coffee, 1245 Folsom Street"
,SF City Hall Polk Street Steps
,Mission Street @ 22nd Street
,"Willy's Barber shop, 3227 22nd Street"
,"Mission Rec Center, 2450 Harrison Street"
"Russell Tovey originally auditioned for the role of Patrick, but was unsuccessful. After the show got picked up, the character of Kevin was written with him in mind.","Capital Restaurant, 839 Clay Street"
,1080 Natoma Street
,1246 Folsom Street
Li Po Cocktail Lounge was one of the Top 10 Dive Bars in San Francisco in 2011 by SF Weekly,"Li Po Lounge, 916 Grant Avenue"
,"Encore Karaoke, 1550 California Street"
,San Francisco City Hall
,"The Stud, 399 9th Street"
"The character of Doris was originally a recurring role, but everyone on the team liked Lauren Weedman's performance so much that she became a full time regular during the second season.",Van Ness and Market Street MUNI exit
,10th Street between Market & Mission
,"Philz Coffee, 1258 Minnesota Street"
,Grant Avenue between Sacramento and Washington
,"The End Up, 401 6th Streeet"
,"Orphan Andy's, 3991 17th Street"
,Castro Street between 17th & 18th
,17th & Market Street
,Point Lobos Avenue
"Jake Shears, lead singer of the band Scissor Sisters, auditioned for the role of Dom.",Bernal Heights Neighborhood
,3079 16th Street
,Fisherman's Wharf
,The Marsh Theatre (1062 Valencia Street)
,20 Hill Street
,198 Gough Street
,Cost Plus World Market (2552 Taylor Street)
,Vermont Street between 20th and 22nd Streets
SFO has a museum dedicated to aviation history.,San Francisco International Airport
,San Francisco Drydock (20th and Illinois Streets)
,"Pacific Heights Towers (2200 Sacramento Street, Pacific Heights)"
"This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.","Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"
,Hall of Justice (850 Bryant Street)
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
demolished,Embarcadero Freeway
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
,Broadway Tunnel (Russian Hill)
,280 Freeway at Pennsylvania and Mariposa Streets
,2190 Washington Street (Pacific Heights)
,18th Street Overpass (Potrero Hill)
,"On Board the SS President Cleveland, docked at Pier 50"
The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991.,"Asian Art Museum (200 Larkin Street, Civic Center)"
Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Grace Cathedral Episcopal Church (1100 California Street)
The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,"722 Steiner Street (Postcard Row, Alamo Square, Hayes Valley)"
,St. Elizabeth Apartment House (901 Powell Street at Sacramento)
,Bush Street at Jones
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
,Duboce Park
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Chinatown
,424 Sansome Street
,29th and Dolores Street
,El Camino Del Mar
"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Treasure Island
"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.",Market & Castro Street
,Marine Fireman's Union Headquarters
,Lower Haight Street
Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Grace Cathedral Episcopal Church (1100 California Street)
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,"The 500 Club (500 Guerrero Street, Mission District)"
"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",Mission Dolores Park (Mission District)
,
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
,1200 Washington Street at Taylor Street
,Hancock School (940 Filbert Street)
,Danilo's Bakery (Green Street & Bannam Place)
Chrissy Field was originally an airfield for the Presidio Army Base.,Chrissy Field
,520-522A Green Street at Grant Street
,516 Green Street
,100 Embarcadero Street
,1821 Alabama Street
,Hall of Justice (850 Bryant Street)
,Cameron House (920 Sacramento Street)
,504 Broadway
,9 Calhoun Terrace
,AT&T Park
